,title,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Production_companies,Distributed_by,Country,Language,Running_time,Budget,Box_office,Release_dates (datetime),imdb,imdb_new,metascore,rotten_tomatoes
53,Good Time,"['Josh Safdie', 'Benny Safdie']","['Ronald Bronstein', 'Josh Safdie']","['Paris Kasidokostas Latsis', 'Terry Dougas', 'Sebastian Bear-McClard', 'Oscar Boyson']","['Robert Pattinson', 'Benny Safdie', 'Buddy Duress', 'Barkhad Abdi', 'Jennifer Jason Leigh']",Sean Price Williams,"['Ronald Bronstein', 'Benny Safdie']",Oneohtrix Point Never,"['Elara Pictures', 'Rhea Films', 'Hercules Film Fund']",A24,United States,English,101,2000000,4100000,5/25/17,7.3,73.0,80.0,91.00%
58,The Disaster Artist,James Franco,,"['James Franco', 'Vince Jolivette', 'Seth Rogen', 'Evan Goldberg', 'James Weaver']","['James Franco', 'Dave Franco', 'Seth Rogen', 'Alison Brie', 'Ari Graynor', 'Josh Hutcherson', 'Jacki Weaver']",Brandon Trost,Stacey Schroeder,Dave Porter,"['New Line Cinema', 'Good Universe', 'Point Grey Pictures', 'Rabbit Bandini Productions']","['A24 (North America)', 'Warner Bros. Pictures (International)']",United States,English,103,10000000,29800000,3/12/17,7.3,73.0,76.0,91.00%
67,Hereditary,Ari Aster,Ari Aster,"['Kevin Frakes', 'Lars Knudsen', 'Buddy Patrick']","['Toni Collette', 'Alex Wolff', 'Milly Shapiro', 'Ann Dowd', 'Gabriel Byrne']",Pawel Pogorzelski,"['Jennifer Lame', 'Lucian Johnston']",Colin Stetson,"['A24', 'PalmStar Media', 'Finch Entertainment', 'Windy Hill Pictures']",A24,United States,English,127,10000000,82500000,1/21/18,7.3,73.0,87.0,90.00%
75,Mid90s,Jonah Hill,['Jonah Hill'],"['Scott Rudin', 'Eli Bush', 'Ken Kao', 'Jonah Hill', 'Lila Yacoub', 'Mikey Alfred']","['Sunny Suljic', 'Lucas Hedges', 'Na-Kel Smith', 'Olan Prenatt', 'Gio Galicia', 'Ryder McLaughlin', 'Alexa Demie', 'Katherine Waterston']",Christopher Blauvelt,Nick Houy,"['Trent Reznor', 'Atticus Ross']","['A24', 'Waypoint Entertainment', 'Scott Rudin Productions']",A24,United States,English,85,1700000,9300000,9/9/18,7.3,73.0,66.0,80.00%
84,The Last Black Man in San Francisco,Joe Talbot,,"['Khaliah Neal', 'Joe Talbot', 'Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']","['Jimmie Fails', 'Jonathan Majors', 'Tichina Arnold', 'Rob Morgan', 'Mike Epps', 'Finn Wittrock', 'Danny Glover']",Adam Newport-Berra,David Marks,Emile Mosseri,"['Plan B Entertainment', 'Longshot Features', 'Mavia Entertainment']","['A24 (United States)', 'Focus Features', 'Universal Pictures (international)']",United States,English,120,3000000,4600000,1/26/19,7.3,73.0,83.0,92.00%
144,Talk to Me,['Daniel Philippou Michael Philippou'],"['Daniel Philippou', 'Bill Hinzman']","['Samantha Jennings', 'Kristina Ceyton']","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes']",Aaron McLisky,Geoff Lam,Cornel Wilczek,,A24 (North America),Australia,English,95,,,,7.3,73.0,69.0,83.00%
146,Civil War,Alex Garland,Alex Garland,"['Gregory Goodman', 'Andrew Macdonald', 'Allon Reich']","['Kirsten Dunst', 'Wagner Moura', 'Stephen McKinley Henderson', 'Cailee Spaeny']",Rob Hardy,Jake Roberts,,"['A24', 'DNA Films']",A24,United States,English,,,,,7.3,73.0,,
23,The End of the Tour,James Ponsoldt,,"['James Dahl', 'Matt DeRoss', 'David Kanter', 'Mark Manuel', ""Ted O'Neal""]","['Jason Segel', 'Jesse Eisenberg']",Jakob Ihre,Darrin Navarro,Danny Elfman,"['Anonymous Content', 'Kilburn Media', 'Modern Man Films']",A24,United States,English,106,,3000000,1/23/15,7.2,72.0,82.0,92.00%
63,Lean on Pete,Andrew Haigh,,Tristan Goligher,"['Charlie Plummer', 'Chloë Sevigny', 'Travis Fimmel', 'Steve Buscemi']",Magnus Joenck,Jonathan Alberts,James Edward Barker,"['The Bureau', 'Film4 Productions', 'British Film Institute']",Curzon Artificial Eye,United Kingdom,English,121,8000000,2500000,9/1/17,7.2,72.0,80.0,90.00%
107,The Souvenir Part II,Joanna Hogg,Joanna Hogg,"['Ed Guiney', 'Emma Norton', 'Andrew Lowe', 'Joanna Hogg', 'Luke Schiller']","['Honor Swinton Byrne', 'Jaygann Ayeh', 'Richard Ayoade', 'Ariane Labed', 'James Spencer Ashworth', 'Tilda Swinton']",David Raedeker,Helle le Fevre,,"['A24', 'BBC Film', 'British Film Institute', 'Sikelia Productions', 'Protagonist Pictures', 'Element Pictures', 'JWH Films']","['A24 (United States)', 'Picturehouse Entertainment (United Kingdom and Ireland)']",,English,107,,381315,7/8/21,7.2,72.0,90.0,90.00%
110,Red Rocket,Sean Baker,"['Chris Bergoch', 'Sean Baker']","['Sean Baker', 'Alex Coco', 'Samantha Quan', 'Alex Saks', 'Shih-Ching Tsou']","['Simon Rex', 'Bree Elrod', 'Suzanna Son']",Drew Daniels,Sean Baker,,"['FilmNation Entertainment', 'Cre Film']",A24,United States,English,128,1100000,2300000,7/14/21,7.2,72.0,76.0,90.00%
4,The Spectacular Now,James Ponsoldt,,"['Tom McNulty', 'Shawn Levy', 'Michelle Krumm', 'Andrew Lauren']","['Miles Teller', 'Shailene Woodley', 'Brie Larson', 'Mary Elizabeth Winstead', 'Bob Odenkirk', 'Jennifer Jason Leigh', 'Kyle Chandler']",Jess Hall,Darrin Navarro,Rob Simonsen,"['Andrew Lauren Productions', '21 Laps Entertainment', 'Global Produce']",A24,United States,English,95,2500000,6900000,1/18/13,7.1,71.0,82.0,91.00%
7,Locke,Steven Knight,Steven Knight,"['Paul Webster', 'Guy Heeley']","['Tom Hardy', 'Olivia Colman', 'Ruth Wilson', 'Andrew Scott', 'Ben Daniels', 'Tom Holland', 'Bill Milner']",Haris Zambarloukos,Justine Wright,Dickon Hinchliffe,"['Shoebox Films', 'IM Global']","['A24 (United States)', 'Lionsgate (United Kingdom)']",,English,85,2000000,5100000,9/2/13,7.1,71.0,81.0,91.00%
30,Krisha,Trey Edward Shults,Trey Edward Shults,"['Justin R. Chan', 'Chase Joliet', 'Trey Edward Shults', 'Wilson Smith']","['Krisha Fairchild', 'Robyn Fairchild', 'Bill Wise']",Drew Daniels,Trey Edward Shults,Brian McOmber,,A24,United States,English,81,30000,144822,3/16/15,7.1,71.0,86.0,95.00%
33,The Lobster,Yorgos Lanthimos,"['Efthimis Filippou', 'Yorgos Lanthimos']","['Ceci Dempsey', 'Ed Guiney', 'Yorgos Lanthimos', 'Lee Magiday']","['Colin Farrell', 'Rachel Weisz', 'Jessica Barden', 'Olivia Colman', 'Ashley Jensen', 'Ariane Labed', 'Angeliki Papoulia', 'John C. Reilly', 'Léa Seydoux', 'Michael Smiley', 'Ben Whishaw']",Thimios Bakatakis,Yorgos Mavropsaridis,,"['Element Pictures', 'Scarlet Films', 'Faliro House Productions', 'Haut et Court', 'Lemming Film', 'Film4 Productions']","['Feelgood Entertainment (Greece)', 'Haut et Court (France)', 'Element Pictures (Ireland)', 'De Filmfreak (Netherlands)', 'Picturehouse Entertainment (United Kingdom)']",,,118,,18000000,5/15/15,7.1,71.0,82.0,87.00%
48,The Lovers,Azazel Jacobs,Azazel Jacobs,"['Ben LeClair', 'Chris Stinson']","['Debra Winger', 'Tracy Letts', 'Aidan Gillen', 'Melora Walters', 'Tyler Ross', 'Jessica Sula']",Tobias Datum,Darrin Navarro,Mandy Hoffman,,A24,United States,English,94,,2200000,4/22/17,7.1,71.0,,
65,First Reformed,Paul Schrader,Paul Schrader,"['Jack Binder', 'Greg Clark', 'Victoria Hill', 'Gary Hamilton', 'Deepak Sikka', 'Christine Vachon', 'David Hinojosa', 'Frank Murray']","['Ethan Hawke', 'Amanda Seyfried', 'Cedric Kyles']",Alexander Dynan,Benjamin Rodriguez Jr.,Lustmord,"['Killer Films', 'Omeira Studio Partners', 'Fibonacci Films', 'Arclight Films', 'Big Indie Productions']",A24,United States,English,113,3500000,3900000,8/31/17,7.1,71.0,85.0,94.00%
