,title,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Production_companies,Distributed_by,Country,Language,Running_time,Budget,Box_office,Release_dates (datetime),imdb,imdb_new,metascore,rotten_tomatoes
37,Into the Forest,Patricia Rozema,Patricia Rozema,"['Niv Fichman', 'Aaron L. Gilbert', 'Elliot Page']","['Elliot Page', 'Evan Rachel Wood', 'Max Minghella', 'Callum Keith Rennie', 'Michael Eklund', 'Wendy Crewson']",Daniel Grant,Matthew Hannam,Max Richter,"['Elevation Pictures', 'Telefilm Canada', 'Ontario Media Development Corporation', 'Bron Studios', 'Rhombus Media', 'Das Films', 'Selavy', 'Vie Entertainment', 'CW Media Finance']","['A24', 'Elevation Pictures']",Canada,English,101,10000,37418,9/12/15,5.8,58.0,59.0,76.00%
45,Trespass Against Us,Adam Smith,Alastair Siddons,"['Andrea Calderwood', 'Gail Egan', 'Alastair Siddons']","['Michael Fassbender', 'Brendan Gleeson', 'Lyndsey Marshal', 'Killian Scott', 'Rory Kinnear', 'Sean Harris']",Eduard Grau,"['Kristina Hetherington', 'Jake Roberts']",Tom Rowlands,"['Film4', 'BFI', 'Protagonist Pictures', 'Animal Kingdom', 'Lipsync LLP', 'Westgrove Partners', 'DMC Film', 'Potboiler Productions', 'Albert Granville']","['Lionsgate (United Kingdom)', 'A24 (United States)']",,English,99,,517197,9/9/16,5.8,58.0,50.0,56.00%
80,High Life,Claire Denis,"['Claire Denis', 'Jean-Pol Fargeau']","['Andrew Lauren', 'D.J. Gugenheim', 'Claudia Steffen', 'Christoph Friedel', 'Laurence Clerc', 'Olivier Théry-Lapiney', 'Oliver Dungey', 'Klaudia Smieja']","['Robert Pattinson', 'Juliette Binoche', 'André Benjamin', 'Mia Goth', 'Agata Buzek', 'Lars Eidinger', 'Claire Tran', 'Ewan Mitchell', 'Gloria Obianyo', 'Victor Banerjee', 'Scarlette Lindsey', 'Jessie Ross']",Yorick Le Saux,Guy Lecorne,Stuart A. Staples,"['Andrew Lauren Productions', 'Pandora Filmproduktion', 'Alcatraz Films', 'The Apocalypse Films Company', 'Madants', 'BFI', 'Arte', 'ZDF', 'Canal+', 'Ciné+']","['Wild Bunch (France)', 'Pandora Filmproduktion (Germany)', 'Thunderbird Releasing (United Kingdom)', 'Against Gravity (Poland)', 'A24 (United States)']",,English,110,,2800000,9/9/18,5.8,58.0,77.0,82.00%
124,God's Creatures,"['Saela Davis', 'Anna Rose Holmer']",,Fodhla Cronin O'Reilly,"['Emily Watson', 'Paul Mescal', 'Aisling Franciosi', 'Declan Conlon', ""Toni O'Rourke"", ""Marion O'Dwyer"", 'Brendan McCormack', 'Lalor Roddy']",Chayse Irvin,"['Jeanne Applegate', 'Julia Bloch']","['Danny Bensi', 'Saunder Jurriaans']","['A24', 'BBC Film', 'Screen Ireland', 'The Wrap Fund', 'Nine Daughters']",A24,,English,94,,,5/19/22,5.8,58.0,71.0,
66,How to Talk to Girls at Parties,John Cameron Mitchell,,"['Iain Canning', 'Howard Gertler', 'John Cameron Mitchell', 'Emile Sherman']","['Elle Fanning', 'Alex Sharp', 'Nicole Kidman', 'Ruth Wilson', 'Matt Lucas']",Frank G. DeMarco,Brian A. Kates,"['Nico Muhly', 'Jamie Stewart']","['HanWay Films', 'Little Punk', 'See-Saw Films', 'Film4', 'Screen Yorkshire']","['A24 (United States)', 'StudioCanal (United Kingdom)']",,English,102,,385733,5/21/17,5.7,57.0,50.0,48.00%
81,Native Son,Rashid Johnson,,"['Matthew Perniciaro', 'Michael Sherman']","['Ashton Sanders', 'Margaret Qualley', 'Nick Robinson', 'KiKi Layne', 'Bill Camp', 'Sanaa Lathan']",Matthew Libatique,Brad Turner,"['Kyle Dixon', 'Michael Stein']","['A24', 'Bow and Arrow Entertainment']",HBO Films,United States,English,104,,,1/24/19,5.7,57.0,63.0,62.00%
88,Share,Pippa Bianco,,"['Carly Hugo', 'Matthew Parker', 'Tyler Byrne']","['Rhianne Barreto', 'Charlie Plummer', 'Poorna Jagannathan', 'J. C. Mackenzie', 'Nicholas Galitzine', 'Lovie Simone']",Ava Berkofsky,Shelby Siegel,Shlohmo,"['A24', 'Loveless', 'Wilding Pictures']",HBO Films,United States,English,89,,,1/25/19,5.7,57.0,73.0,86.00%
134,Close,Lukas Dhont,,"['Dirk Impens', 'Michiel Dhont']","['Eden Dambrine', 'Gustav de Waele', 'Émilie Dequenne', 'Léa Drucker']",Frank van den Eeden,Alain Dessauvage,Valentin Hadjadj,"['Menuet', 'Diaphana Films', 'Topkapi Films', 'Versus Production']","['Lumière ( Benelux )', 'Diaphana Distribution (France)']",,,104,,3500000,5/26/22,5.7,57.0,51.0,37.00%
3,The Bling Ring,Sofia Coppola,,"['Roman Coppola', 'Sofia Coppola', 'Youree Henley']","['Israel Broussard', 'Katie Chang', 'Taissa Farmiga', 'Claire Julien', 'Georgia Rock', 'Emma Watson', 'Leslie Mann']","['Harris Savides', 'Christopher Blauvelt']",Sarah Flack,"['Brian Reitzell', 'Daniel Lopatin']","['American Zoetrope', 'NALA Films', 'Pathé Distribution', 'StudioCanal Limited', 'Tobis Film GmbH & Co. KG', 'Tohokushinsha Film Corporation', 'FilmNation Entertainment']","['A24 (United States)', 'StudioCanal (United Kingdom)', 'Pathé Distribution (France)', 'Tobis Film (Germany)', 'Tohokushinsha Film (Japan)']",,English,90,8200000,20000000,5/16/13,5.6,56.0,66.0,60.00%
10,Life After Beth,Jeff Baena,Jeff Baena,"['Michael Zakin', 'Liz Destro']","['Aubrey Plaza', 'Dane DeHaan', 'Molly Shannon', 'Cheryl Hines', 'Paul Reiser', 'Matthew Gray Gubler', 'John C. Reilly']",Jay Hunter,Colin Patton,,"['American Zoetrope', 'Abbolita Productions', 'Starstream Entertainment', 'XYZ Films']",A24,United States,English,89,2400000,274717,1/19/14,5.6,56.0,50.0,45.00%
77,The Hole in the Ground,Lee Cronin,"['Lee Cronin', 'Stephen Shields']","['Conor Barry', 'John Keville']","['Seána Kerslake', 'James Cosmo', 'Simone Kirby', 'Steve Wall', 'James Quinn Markey']",Tom Comerfeld,Colin Campbell,Stephen McKeon,"['Savage Productions', 'Wrong Men', 'Made', 'Irish Film Board', 'Bankside Films', 'Wallimage', 'VOO', 'Be TV', 'BNP Paribas', 'Fortis Film Finance', 'Head Gear Films', 'Metrol Technology', 'Broadcasting Authority of Ireland', 'Finnish Film Foundation']","['Wildcard Distribution (Ireland)', 'Vertigo Films (United Kingdom)', 'A24 (United States)']",,English,90,,3400000,1/25/19,5.6,56.0,63.0,83.00%
112,The Sky Is Everywhere,Josephine Decker,,"['Josephine Decker', 'Denise Di Novi', 'Margaret French Isaac', 'Allison Rose Carter']","['Grace Kaufman', 'Pico Alexander', 'Jacques Colimon', 'Cherry Jones', 'Jason Segel']",Ava Berkofsky,Laura Zempel,Caroline Shaw,,"['A24', 'Apple TV+']",United States,English,103,,,,5.6,56.0,66.0,65.00%
125,Stars at Noon,Claire Denis,,Olivier Delbosc,"['Margaret Qualley', 'Joe Alwyn', 'Benny Safdie', 'Danny Ramirez', 'John C. Reilly']",Éric Gautier,Guy Lecorne,Tindersticks,"['Curiosa Films', 'Arte France Cinéma', 'Ad Vitam', 'Canal+']","['Ad Vitam Distribution (France)', 'A24 (United States)']",France,English,137,,15226,5/25/22,5.5,55.0,64.0,63.00%
129,White Noise,Noah Baumbach,,"['Noah Baumbach', 'David Heyman', 'Uri Singer']","['Adam Driver', 'Greta Gerwig', 'Don Cheadle']",Lol Crawley,Matthew Hannam,Danny Elfman,"['NBGG Pictures', 'Heyday Films', 'A24']",Netflix,,English,136,100000000,34818,8/31/22,5.5,55.0,30.0,70.00%
21,Barely Lethal,Kyle Newman,John D'Arco,"['John Cheng', 'Sukee Chew', 'Vanessa Coifman', 'Ted Hartley', 'Brett Ratner']","['Hailee Steinfeld', 'Dove Cameron', 'Thomas Mann', 'Sophie Turner', 'Jessica Alba', 'Samuel L. Jackson']",Peter Lyons Collister,Lisa Zeno Churgin,Mateo Messina,"['Main Street Films', 'RKO Pictures', 'RatPac Entertainment', 'Hopscotch Pictures', '120db Films', 'Highland Film Group', 'Windowseat Entertainment']","['A24', 'DirecTV Cinema']",United States,English,98,15000000,933847,,5.4,54.0,44.0,26.00%
43,The Monster,Bryan Bertino,Bryan Bertino,"['Bryan Bertino', 'Adrienne Biddle', 'Aaron L. Ginsberg']","['Zoe Kazan', 'Ella Ballentine']",Julie Kirkwood,Maria Gonzales,"['Thomas Hajdu', 'Andy Milburn']","['Atlas Independent', 'Unbroken Pictures']",A24,United States,English,91,3000000,74700,,5.4,54.0,69.0,80.00%
2,Spring Breakers,Harmony Korine,Harmony Korine,"['Chris Hanley', 'Jordan Gertner', 'David Zander', 'Charles-Marie Anthonioz']","['James Franco', 'Selena Gomez', 'Vanessa Hudgens', 'Ashley Benson', 'Rachel Korine', 'Gucci Mane']",Benoît Debie,Douglas Crise,"['Skrillex', 'Cliff Martinez']","['Muse Productions', 'Annapurna Pictures', 'Division Films', 'Radar Productions']",A24,United States,English,94,5000000,31700000,9/4/12,5.3,53.0,63.0,67.00%
11,Tusk,Kevin Smith,Kevin Smith,"['William D. Johnson', 'Sam Englebardt', 'Shannon McIntosh', 'David Greathouse']","['Michael Parks', 'Justin Long', 'Haley Joel Osment', 'Genesis Rodriguez']",James Laxton,Kevin Smith,Christopher Drake,"['Demarest Films', 'XYZ Films', 'SModcast Pictures']",A24,United States,English,101,3000000,1900000,9/6/14,5.3,53.0,55.0,45.00%
13,Revenge of the Green Dragons,"['Andrew Lau', 'Andrew Loo']","['Andrew Loo', 'Michael Di Jiacomo']","['Allen Bain', 'Jesse Scolaro', 'Michael Bassick', 'Stuart Ford']","['Justin Chon', 'Kevin Wu', 'Harry Shum Jr.', 'Eugenia Yuan', 'Geoff Pierson', 'Ray Liotta']",Martin Ahlgren,Michelle Tesoro,Mark Kilian,"['Artfire Films', 'IM Global Octane', 'Initial A Entertainment', 'The 7th Floor']","['Golden Scene (Hong Kong)', 'A24 (United States)']",,,95,5000000,107412,9/10/14,5.3,53.0,36.0,15.00%
27,Mojave,William Monahan,William Monahan,"['Aaron L. Ginsburg', 'William Green', 'Justine Suzanne Jones', 'William Monahan']","['Garrett Hedlund', 'Oscar Isaac', 'Mark Wahlberg', 'Louise Bourgoin', 'Walton Goggins']",Don Davis,John David Allen,Andrew Hewitt,"['Atlas Independent', 'Henceforth Pictures', 'MICA Entertainment', 'Relativity International', 'Elevation Pictures']",A24,United States,English,93,,8602,4/18/15,5.2,52.0,41.0,
32,The Adderall Diaries,Pamela Romanowsky,Pamela Romanowsky,"['Vince Jolivette', 'James Franco', 'James Reach', 'Joseph McKelheer', 'Marni Zelnick']","['James Franco', 'Ed Harris', 'Amber Heard', 'Jim Parrack', 'Timothée Chalamet', 'Daniel Flaherty', 'Cynthia Nixon', 'Christian Slater']",Bruce Thierry Cheung,Marc Vives,Michael Andrews,"['Rabbit Bandini Productions', 'Wildwood Enterprises, Inc', 'Windowseat Entertainment']",A24,United States,English,105,,15364,4/16/15,5.2,52.0,42.0,25.00%
102,False Positive,John Lee,,"['Ilana Glazer', 'John Lee', 'Jonathan Wang', 'Allison Rose Carter']","['Ilana Glazer', 'Justin Theroux', 'Pierce Brosnan', 'Sophia Bush']",Pawel Pogorzelski,Jon Philpot,"['Yair Elazar Glotman', 'Lucy Railton']",,Hulu,United States,English,92,,,6/18/21,4.7,47.0,54.0,47.00%
0,A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,Roman Coppola,"['Roman Coppola', 'Youree Henley']","['Charlie Sheen', 'Katheryn Winnick', 'Bill Murray', 'Jason Schwartzman', 'Patricia Arquette', 'Mary Elizabeth Winstead', 'Fabianne Therese']",Nick Beal,Robert Schafer,"['Liam Hayes', 'Roger Neill']","['American Zoetrope', 'The Directors Bureau']","['A24', 'FilmBuff']",United States,English,86,,210565,11/15/12,4.6,46.0,28.0,16.00%
73,Slice,Austin Vesely,Austin Vesely,"['Kevin McGrail', 'Brandon Riley']","['Zazie Beetz', 'Chance Bennett', 'Rae Gray', 'Marilyn Dodds Frank', 'Katherine Cunningham', 'Will Brill', ""Y'lan Noel"", 'Hannibal Buress', 'Tim Becker', 'Joe Keery', 'Chris Parnell', 'Paul Scheer']",Brandon Riley,Arielle Sherman,"['Ludwig Göransson', 'Nathan Matthew David']","['Frëhand', 'N2ition Cinema']",A24,United States,English,83,,,,4.6,46.0,61.0,52.00%
54,Woodshock,"['Kate Mulleavy', 'Laura Mulleavy']","['Kate Mulleavy', 'Laura Mulleavy']","['Michael Costigan', 'Ken Kao', 'Ben LeClair', 'K.K. Barrett']","['Kirsten Dunst', 'Joe Cole', 'Pilou Asbæk']",Peter Flinckenberg,"['Dino Jonsater', 'Julia Bloch']",Peter Raeburn,"['Waypoint Entertainment', 'COTA Films', 'Bloom']",A24,United States,English,100,5000000,43682,9/4/17,4.2,42.0,39.0,26.00%
59,The Room,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,"['Tommy Wiseau', 'Juliette Danielle', 'Greg Sestero', 'Philip Haldiman', 'Carolyn Minnott']",Todd Barron,Eric Yalkut Chase,Mladen Milicevic,,"['Chloe Productions', 'TPW Films']",United States,English,99,6000000,1916,,3.6,36.0,9.0,24.00%
117,Elizabeth: A Portrait in Parts,Roger Michell,,Kevin Loader,,,Joanna Crickmay,George Fenton,"['Ingenious Media', 'Free Range Films']",Signature Entertainment,United Kingdom,English,90,,,,,0.0,,
135,Sharper,Benjamin Caron,,"['Bart Freundlich', 'Brian Gatewood', 'Alessandro Tanaka', 'Erik Feig', 'Julianne Moore']","['Julianne Moore', 'Sebastian Stan', 'Justice Smith', 'Briana Middleton', 'John Lithgow']",Charlotte Bruus Christensen,Yan Miles,Clint Mansell,"['Apple Original Films', 'Picturestart', 'IAC Films']","['A24', 'Apple TV+']",United States,English,116,,,2/10/23,,0.0,,
136,Beau Is Afraid,Ari Aster,Ari Aster,"['Ari Aster', 'Lars Knudsen']","['Joaquin Phoenix', 'Nathan Lane', 'Patti LuPone', 'Kylie Rogers', 'Parker Posey', 'Amy Ryan', 'Stephen McKinley Henderson', 'Denis Ménochet', 'Hayley Squires', 'Michael Gandolfini', 'Zoe Lister-Jones', 'Richard Kind']",Pawel Pogorzelski,Lucian Johnston,Bobby Krlic,"['A24', 'Square Peg']",A24,United States,English,179,,,,,0.0,,
137,All Dirt Roads Taste of Salt,Raven Jackson,Raven Jackson,"['Maria Altamirano', 'Barry Jenkins', 'Adele Romanski', 'Mark Ceryak']","['Charleen McClure', 'Moses Ingram', 'Sheila Atim']",Jomo Fray,Lee Chatametikool,"['Sasha Gordon', 'Victor Magro']","['A24', 'PASTEL']",A24,United States,English,97,,,1/22/23,,0.0,87.0,
138,Earth Mama,Savanah Leaf,Savanah Leaf,"['Cody Ryder', 'Shirley O’Connor', 'Medb Riordan', 'Sam Bisbee', 'Savanah Leaf']","['Tia Nomore', 'Erika Alexander', 'Doechii', 'Sharon Duncan-Brewster', 'Dominic Fike', 'Bokeem Woodbine']",Jody Lee Lipes,George Cragg,Kelsey Lu,"['A24', 'Film4 Productions', 'Academy Films', 'Park Pictures']",A24,,English,97,,,,,0.0,,
141,Past Lives,Celine Song,Celine Song,"['David Hinojosa', 'Christine Vachon', 'Pamela Koffler']","['Greta Lee', 'Teo Yoo', 'John Magaro']",Shabier Kirchner,Keith Fraase,"['Christopher Bear', 'Daniel Rossen']","['A24', '2AM', 'Killer Films', 'CJ ENM']",A24,United States,,106,,,,,0.0,,
142,Problemista,Julio Torres,Julio Torres,"['Emma Stone', 'Dave McCary', 'Ali Herting']","['Julio Torres', 'Tilda Swinton', 'RZA', 'Isabella Rossellini', 'Greta Lee']",Fredrik Wenzel,"['Sara Shaw', 'Jacob Schulsinger']",Robert Ouyang Rusli,"['A24', 'Fruit Tree']",A24,United States,English,98,,,,,0.0,,
143,Showing Up,Kelly Reichardt,"['Jon Raymond', 'Kelly Reichardt']","['Neil Kopp', 'Vincent Savino', 'Anish Savjani']","['Michelle Williams', 'Hong Chau', 'Maryann Plunkett', 'John Magaro', 'André Benjamin', 'James Le Gros', 'Judd Hirsch']",Christopher Blauvelt,Kelly Reichardt,Ethan Rose,,A24,United States,English,108,,,,,0.0,81.0,93.00%
147,Dream Scenario,Kristoffer Borgli,Kristoffer Borgli,"['Ari Aster', 'Lars Knudsen', 'Jacob Jaffke', 'Tyler Campellone']","['Nicolas Cage', 'Michael Cera', 'Julianne Nicholson', 'Tim Meadows']",Benjamin Loeb,,,"['A24', 'Square Peg']",A24,United States,English,,,,,,0.0,,
148,I Saw the TV Glow,Jane Schoenbrun,Jane Schoenbrun,"['Emma Stone', 'Dave McCary', 'Ali Herting', 'Sarah Winshall', 'Sam Intili']","['Justice Smith', 'Brigette Lundy-Paine', 'Danielle Deadwyler', 'Phoebe Bridgers', 'Fred Durst']",Eric K. Yue,Sofi Marshall,,"['A24', 'Smudge Films', 'Fruit Tree']",A24,United States,English,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
